City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
289,George,ZA,50.0,clear sky,-33.96,22.46,Protea Hotel by Marriott George King George
299,Aksarayskiy,RU,51.8,broken clouds,46.79,48.01,
304,Durango,MX,52.0,broken clouds,24.83,-104.83,
307,Aberdeen,GB,48.99,light rain,57.14,-2.1,Premier Inn Aberdeen City Centre hotel
308,Havelock,US,57.0,clear sky,34.88,-76.9,Sherwood Motel
311,Ukiah,US,59.0,clear sky,39.15,-123.21,Hampton Inn Ukiah
320,Shiraz,IR,50.0,clear sky,29.6,52.54,Shams Hotel
325,Waipawa,NZ,64.4,overcast clouds,-41.41,175.52,Tora Coastal Walk
327,Eastleigh,GB,55.99,overcast clouds,50.97,-1.35,Premier Inn Southampton Airport hotel
339,Medicine Hat,CA,46.4,overcast clouds,50.05,-110.67,Ramada Limited Medicine Hat
346,Papillion,US,46.99,clear sky,41.15,-96.04,lalithya constructions the lake shore
348,Lata,PT,61.0,clear sky,40.16,-8.33,Casa Maquia
355,Constitucion,CL,56.3,clear sky,-35.33,-72.42,Hotel Boutique Las Azucenas
357,Hami,CN,47.84,clear sky,42.8,93.45,Laoyutang Resort
364,Port Lincoln,AU,60.96,scattered clouds,-34.73,135.87,Port Lincoln Hotel
375,Half Moon Bay,US,57.0,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
381,Okhtyrka,UA,46.24,overcast clouds,50.31,34.9,У нас як вдома
382,Nurota,UZ,48.2,clear sky,40.56,65.69,Guest House Ruslan Nurata & Tours
392,Sabha,LY,55.98,few clouds,27.04,14.43,محطة ام الارانب -سبها مواصلات
395,Yingcheng,CN,62.6,mist,30.95,113.55,Yingcheng Hotel
399,Najran,SA,60.8,clear sky,17.49,44.13,محمد هادي ال فطيح
406,Pisco,PE,64.4,overcast clouds,-13.7,-76.22,Hostal San Isidro Oficial
408,Iki-Burul,RU,51.8,broken clouds,45.82,44.65,
410,Baghdad,IQ,57.2,haze,33.34,44.4,Baghdad Hotel
