City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Avarua,CK,-21.21,-159.78,73.4,83,95,8.05,overcast clouds
84,Mairinque,BR,-23.55,-47.18,66.99,82,90,11.41,overcast clouds
85,Vikindu,TZ,-7.01,39.3,79.14,72,55,3.94,broken clouds
86,Kearney,US,40.7,-99.08,51.8,61,1,10.29,clear sky
87,Kavieng,PG,-2.57,150.8,83.82,70,100,5.21,moderate rain
88,Paamiut,GL,61.99,-49.67,26.78,88,70,21.25,broken clouds
89,Dikson,RU,73.51,80.55,15.4,96,98,26.24,overcast clouds
90,Mattru,SL,7.62,-11.83,73.54,95,5,1.19,clear sky
91,Georgetown,MY,5.41,100.34,89.6,70,20,6.93,few clouds
92,Talnakh,RU,69.49,88.4,14.0,78,75,33.55,broken clouds
93,San Patricio,US,28.02,-97.52,55.0,76,20,3.36,few clouds
94,Bredasdorp,ZA,-34.53,20.04,50.0,81,17,2.77,few clouds
95,Huarmey,PE,-10.07,-78.15,62.46,85,100,6.58,overcast clouds
96,Ucluelet,CA,48.93,-125.55,44.01,88,0,5.75,clear sky
97,Longyearbyen,SJ,78.22,15.64,17.6,72,20,3.36,few clouds
98,Bhadrachalam,IN,17.67,80.88,80.85,63,95,4.99,overcast clouds
99,Riyadh,SA,24.69,46.72,62.6,48,0,2.24,clear sky
100,Vaitape,PF,-16.52,-151.75,79.99,71,3,15.88,clear sky
101,Bayir,TR,37.27,28.22,53.6,93,1,2.24,mist
102,Barabinsk,RU,55.36,78.36,34.18,95,100,7.85,overcast clouds
103,Bengkulu,ID,-3.8,102.27,83.39,70,80,6.13,broken clouds
104,Bilibino,RU,68.05,166.44,5.04,89,94,1.36,overcast clouds
105,Victoria,HK,22.29,114.16,77.0,62,31,5.99,scattered clouds
106,Norman Wells,CA,65.28,-126.83,6.8,84,75,4.7,light snow
107,Barra Do Corda,BR,-5.5,-45.25,75.9,84,35,2.28,scattered clouds
108,Mahebourg,MU,-20.41,57.7,71.6,49,20,14.99,few clouds
109,Abaza,RU,52.66,90.09,32.92,92,100,6.67,overcast clouds
110,Kangaatsiaq,GL,68.31,-53.46,24.85,95,99,8.66,overcast clouds
